item_id,name,description,summary
1,OBLIVION,바이올린으로 펼쳐지는 \n드라마틱한 전개의 트랜스 곡\n그 명성에 걸맞게 Q에 등장! ,
2,Raise me up,Planetboom의 기타와 Miya의 감성보컬.\n그들의 환상적인 하모니를 즐겨라!\n이 음악으로 Raise me up!,
3,Lover,브라스가 주도하는 강렬한 사운드!\n톡톡튀는 보컬은 적극적 사랑의 표현!,
4,In the Tdot,강렬한 신스와 비트가 도드라지는 곡!\nTECHNIKA Q에서 최초로 공개하는\n실사 뮤직비디오!,
5,Ray of Illuminati,DJMAX Classic 넘버 Q로 귀환!\n감각적 Euro Dance와 신스의 향연!\n지금 느껴보세요.,
6,Eternal Fantasy (Miya Vocal Mix),맑은 보컬과 오리엔털 사운드는\n서정적인 분위기를 이끌어냅니다.\n영원의 그곳으로 떠나볼까요?,
7,모짜르트 교향곡 40번 1악장,모차르트의 감성 DJMAX로 느끼자!\nMixture 느낌이 인상적인 곡!\n한편의 동화와 같은 뮤직비디오!,
8,A Song of Sixpence,makou의 새로운 사운드!\n귀여운 아이들의 목소리와\n중독성 있는 멜로디에 주목해주세요~,
9,Become Myself,최고의 밴드 PIA와 DJMAX의 만남!\n파워풀한 기타와 서정적인 보컬.\n그 사이를 질주하는 신스사운드!,
10,바람에게 부탁해,들려오는 바람의 속삭임과\n서정적 선율에 녹아드는 목소리!\n바람이 전하는 환상을 느껴요.,
11,SigNalize,화려한 효과음과 풍성한 베이스.\nDJing을 꿈꾸는 당신에게\n최고의 만족감을 선사할 Signalize!,
12,유령,잊을 수 없는 사랑은 유령처럼 머물고\n애절한 사랑의 멜로디와 어우러지는\n래핑은 곡의 느낌을 한껏 돋웁니다. ,
13,설레임 Part.2,발랄한 Miya의 보컬과 그루브한\n어쿠스틱 기타의 하모니.\n모두를 한 번 더 설레이게 할 그 노래.,
14,Fury,Sugardonut 과 DJMAX의 만남!\nPunk Rock의 강렬한 쾌감을\nQ에서 느껴보세요!,
15,Kung-Fu Rider,오리엔탈 사운드와 쿵푸 효과음이\n재미있게 어우러진 쿵푸스타일!\n익살맞은 뮤직비디오도 매력포인트!,
16,"고백, 꽃, 늑대",웅장한 사운드와 아름다운 영상미\n음악게임을 초월한 스케일!\nReX가 선사하는 선율을 느껴봅시다.,
17,Sweet Shining Shooting Star,곡 전체를 아우르는 브라스신스와\n달콤한 3rd Coast의 피처링!\nSweety한 사운드를 즐겨요!,
